Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-23,920.0,931.45,860.1,860.55,869.0,8014800.0,72334.36
2016-09-26,860.0,877.75,855.15,875.1,870.65,881599.0,7633.28
2016-09-27,872.3,874.85,860.0,862.3,861.65,166160.0,1439.79
2016-09-28,863.0,868.7,859.0,861.85,863.5,190573.0,1644.44
2016-09-29,863.75,867.5,833.55,849.0,845.9,367348.0,3123.02
2016-09-30,844.95,854.95,837.5,846.45,847.15,95427.0,808.22
2016-10-03,847.5,852.05,840.1,842.0,846.65,66731.0,565.14
2016-10-04,844.95,847.5,830.15,831.95,833.5,82996.0,694.85
2016-10-05,833.0,836.7,823.75,825.0,826.85,56541.0,469.52
2016-10-06,827.5,844.0,827.5,839.25,840.6,88139.0,739.6
2016-10-07,842.5,846.6,830.1,831.0,832.6,38794.0,324.52
2016-10-10,834.2,854.9,830.2,848.0,849.3,77295.0,653.92
2016-10-13,848.95,849.3,841.7,847.0,846.3,44221.0,373.88
2016-10-14,846.75,854.8,840.05,851.0,851.65,39648.0,336.42
2016-10-17,849.95,855.3,842.55,852.0,853.0,27319.0,232.27
2016-10-18,853.9,855.0,850.05,852.0,853.45,21776.0,185.58
2016-10-19,855.7,864.95,853.05,855.0,855.2,77476.0,665.2
2016-10-20,857.5,862.0,852.5,859.2,860.25,52574.0,451.47
2016-10-21,861.95,861.95,850.0,850.05,852.65,113473.0,969.96
2016-10-24,854.85,854.85,846.9,850.0,850.65,49610.0,422.41
2016-10-25,850.05,852.0,845.0,846.0,846.35,111286.0,945.01
2016-10-26,847.5,847.5,840.05,840.15,843.6,36760.0,310.66
2016-10-27,840.05,850.0,832.05,832.05,838.8,31682.0,265.49
2016-10-28,834.95,835.1,823.0,825.0,828.1,51421.0,426.53
2016-10-30,827.5,836.0,827.5,834.95,834.3,3902.0,32.5
2016-11-01,830.05,834.65,816.0,817.0,821.2,69602.0,575.28
2016-11-02,819.5,819.95,801.0,805.1,808.15,125959.0,1021.52
2016-11-03,808.2,812.05,782.5,788.4,789.2,219258.0,1739.38
2016-11-04,789.0,794.85,761.55,761.55,766.4,71958.0,557.39
2016-11-07,765.0,780.65,763.05,770.0,772.55,56201.0,434.59
2016-11-08,770.0,785.0,770.0,784.0,784.05,34352.0,267.99
2016-11-09,760.0,785.0,751.0,783.0,784.35,88918.0,680.75
2016-11-10,787.5,807.9,786.0,790.3,789.8,33017.0,262.53
2016-11-11,792.0,794.95,771.0,771.0,784.5,102981.0,807.42
2016-11-15,784.0,784.0,751.0,757.0,753.0,41828.0,316.29
2016-11-16,760.0,766.95,750.0,755.0,755.2,89026.0,672.29
2016-11-17,764.9,768.25,754.5,762.0,755.25,34335.0,259.65
2016-11-18,755.2,824.45,755.2,815.0,815.8,98898.0,792.43
2016-11-21,810.0,813.0,770.0,794.0,791.8,24715.0,196.09
2016-11-22,806.0,816.5,780.05,813.4,813.0,20675.0,166.78
2016-11-23,819.2,820.95,805.0,807.0,811.7,63635.0,517.51
2016-11-24,809.4,833.0,799.8,831.0,830.1,34354.0,281.53
2016-11-25,820.0,855.0,820.0,849.0,850.4,55400.0,470.01
2016-11-28,853.0,854.9,842.45,848.0,847.85,22496.0,191.32
2016-11-29,854.95,857.5,848.15,854.5,854.0,98194.0,838.31
2016-11-30,853.3,867.0,845.05,856.0,860.6,27306.0,234.48
2016-12-01,860.0,861.95,844.0,859.0,859.15,125086.0,1066.4
2016-12-02,859.5,859.5,841.0,845.0,845.15,37092.0,313.83
2016-12-05,856.0,856.0,843.95,848.0,849.55,17350.0,147.33
2016-12-06,847.5,852.5,840.05,852.0,845.8,113804.0,961.74
2016-12-07,839.1,851.45,839.1,847.15,847.95,12658.0,107.02
2016-12-08,850.0,852.15,840.05,841.1,844.6,21888.0,184.92
2016-12-09,842.0,851.2,840.05,847.0,849.7,47462.0,401.48
2016-12-12,850.0,850.0,835.0,835.0,836.35,15969.0,134.05
2016-12-13,839.05,839.85,781.0,789.0,798.05,280525.0,2302.91
2016-12-14,798.0,802.0,781.55,788.05,790.2,22506.0,177.81
2016-12-15,797.9,804.0,788.05,795.1,796.4,12368.0,98.48
2016-12-16,796.1,804.95,793.95,800.0,800.4,17562.0,140.48
2016-12-19,800.0,814.95,785.35,792.35,794.75,15898.0,126.44
2016-12-20,805.55,805.55,785.35,787.15,790.15,11880.0,93.96
2016-12-21,792.25,800.0,784.0,784.0,786.55,10013.0,78.92
2016-12-22,799.7,799.95,782.0,787.6,788.75,13786.0,109.08
2016-12-23,792.2,796.0,782.3,795.0,794.15,16413.0,129.8
2016-12-26,790.0,795.55,774.2,777.0,779.75,37566.0,293.07
2016-12-27,785.0,790.0,773.0,789.9,782.15,23154.0,180.33
2016-12-28,785.0,788.3,777.9,777.9,782.25,12119.0,94.8
2016-12-29,788.0,792.9,779.0,784.0,784.65,14413.0,113.15
2016-12-30,787.0,800.0,779.95,784.0,787.9,13003.0,102.24
