,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,28-09-1995,3:5,01-11-1995,04-10-1995
1,29-04-1982,2:5,30-11--0001,-
2,29-04-1979,2:5,30-11--0001,-
3,29-04-1977,1:5,30-11--0001,-
