,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,07-10-1990,1:1,08-11-1990,-
1,17-06-1987,1:1,30-11--0001,05-01-1987
2,17-06-1980,1:1,30-11--0001,-
3,17-06-1976,1:5,30-11--0001,-
4,17-06-1974,1:5,30-11--0001,-
5,17-06-1967,1:5,30-11--0001,-
