,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,29-05-2017,1:2,14-07-2017,13-07-2017
1,22-05-2013,1:2,13-07-2013,11-07-2013
2,29-05-2008,1:1,03-10-2008,01-10-2008
3,07-06-2006,1:1,29-09-2006,28-09-2006
4,01-08-1986,3:5,30-11--0001,-
5,01-08-1982,3:4,30-11--0001,-
6,01-08-1979,1:2,30-11--0001,-
7,01-08-1973,8:25,30-11--0001,-
8,01-08-1969,1:10,30-11--0001,-
9,01-08-1965,1:7,30-11--0001,-
