,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,07-06-2004,1:2,12-08-2004,11-08-2004
1,11-09-1987,2:5,30-11--0001,-
2,11-09-1981,2:5,30-11--0001,-
3,11-09-1967,2:5,30-11--0001,-
4,11-09-1959,1:5,30-11--0001,-
5,11-09-1954,1:1,30-11--0001,-
