,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,28-05-2003,1:2,25-08-2003,22-08-2003
1,30-05-2000,3:5,30-11--0001,02-08-2000
2,18-10-1995,1:1,06-12-1995,08-11-1995
3,06-05-1985,3:5,30-11--0001,-
