,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,28-04-2008,1:1,18-08-2008,08-08-2008
1,17-12-2004,1:1,17-02-2005,16-02-2005
2,30-03-1993,1:1,25-05-1993,23-04-1993
3,29-08-1986,2:5,30-11--0001,-
