,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,09-12-1997,1:3,01-03-1997,16-12-1996
1,12-01-1994,1:3,08-02-1994,14-01-1994
2,17-12-1978,1:3,30-11--0001,-
