,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,20-05-2016,1:2,04-07-2016,01-07-2016
1,18-06-2010,1:1,04-08-2010,03-08-2010
2,17-06-2005,1:2,28-09-2005,21-09-2005
3,12-07-1994,1:1,06-10-1994,12-09-1994
4,30-09-1991,3:5,15-01-1992,12-12-1991
5,29-04-1989,1:1,30-11--0001,31-08-1989
6,29-04-1980,1:5,30-11--0001,-
