,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,13-07-2018,1:1,05-09-2018,04-09-2018
1,24-04-2015,1:1,30-11--0001,15-06-2015
2,10-10-2014,1:1,03-12-2014,02-12-2014
3,14-04-2006,1:1,14-07-2006,13-07-2006
4,13-04-2004,3:1,02-07-2004,01-07-2004
5,25-01-1999,1:1,05-03-1999,08-02-1999
6,18-06-1997,1:1,12-09-1997,19-08-1997
7,30-06-1994,1:1,15-09-1994,19-08-1994
