,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,19-04-2018,1:1,02-06-2018,31-05-2018
1,20-04-2009,1:1,17-06-2009,16-06-2009
2,17-04-2006,1:1,31-07-2006,28-07-2006
