,Announcement_Date,Bonus_Ratio,Record_Date,Ex-Bonus_Date
0,07-09-2018,1:2,31-10-2018,30-10-2018
1,19-05-2017,1:2,30-11--0001,05-07-2017
2,10-06-2015,1:2,30-11--0001,23-07-2015
3,01-11-2013,1:2,30-11--0001,20-12-2013
4,09-08-2012,1:2,30-11--0001,03-10-2012
5,26-05-2007,1:2,31-08-2007,30-08-2007
6,07-01-2005,1:2,26-02-2005,24-02-2005
7,21-07-2000,1:2,30-11-2000,15-11-2000
8,27-11-1997,1:2,24-12-1997,01-12-1997
