,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,RATIO,PREMIUM
0,ANNOUNCEMENT ,PURPOSE,RECORD ,EX-BONUS ,RATIO,PREMIUM
1,22-01-2018,Rights,01-02-2018,31-01-2018,4:25,500.00
2,11-10-2007,Rights,05-11-2007,29-10-2007,1:5,290.00
