,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,RATIO,PREMIUM
0,ANNOUNCEMENT ,PURPOSE,RECORD ,EX-BONUS ,RATIO,PREMIUM
1,31-01-2020,Rights,06-02-2020,05-02-2020,13:118,308.00
2,04-09-2003,Rights,20-09-2003,12-09-2003,1:1,15.00
