,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,Ratio
0,ANNOUNCEMENT DATE,PURPOSE,RECORD DATE,EX-BONUS DATE,Ratio
1,27-08-2018,Bonus,05-09-2018,04-09-2018,1:1
2,05-06-2015,Bonus,17-06-2015,15-06-2015,1:1
3,21-11-2014,Bonus,03-12-2014,02-12-2014,1:1
4,14-06-2006,Bonus,14-07-2006,13-07-2006,1:1
