,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,Ratio
0,ANNOUNCEMENT DATE,PURPOSE,RECORD DATE,EX-BONUS DATE,Ratio
1,01-06-2000,Bonus,17-08-2000,02-08-2000,3:5
2,25-11-1995,Bonus,06-12-1995,20-11-1995,1:1
