,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,Ratio
0,ANNOUNCEMENT DATE,PURPOSE,RECORD DATE,EX-BONUS DATE,Ratio
1,25-02-2019,Bonus,07-03-2019,06-03-2019,1:3
2,31-05-2017,Bonus,14-06-2017,13-06-2017,1:1
3,09-06-2010,Bonus,16-06-2010,15-06-2010,2:3
