,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,Ratio
0,ANNOUNCEMENT DATE,PURPOSE,RECORD DATE,EX-BONUS DATE,Ratio
1,19-10-2018,Bonus,31-10-2018,30-10-2018,1:2
2,28-06-2017,Bonus,07-07-2017,05-07-2017,1:2
3,16-07-2015,Bonus,25-07-2015,23-07-2015,1:2
4,12-12-2013,Bonus,24-12-2013,20-12-2013,1:2
5,18-09-2012,Bonus,05-10-2012,03-10-2012,1:2
6,17-08-2007,Bonus,31-08-2007,30-08-2007,1:2
