,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,Ratio
0,ANNOUNCEMENT DATE,PURPOSE,RECORD DATE,EX-BONUS DATE,Ratio
1,16-09-2014,Bonus,20-09-2014,18-09-2014,1:5
2,18-05-1995,Bonus,10-06-1995,22-05-1995,1:1
