,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,Ratio
0,ANNOUNCEMENT DATE,PURPOSE,RECORD DATE,EX-BONUS DATE,Ratio
1,21-05-2018,Bonus,02-06-2018,31-05-2018,1:1
2,08-06-2009,Bonus,17-06-2009,16-06-2009,1:1
