,Announcement_Date,PURPOSE,RECORD_DATE,EX_BONUS_DATE,Ratio
0,ANNOUNCEMENT DATE,PURPOSE,RECORD DATE,EX-BONUS DATE,Ratio
1,01-06-2017,Bonus,14-07-2017,13-07-2017,1:2
2,04-07-2013,Bonus,13-07-2013,11-07-2013,1:2
3,12-09-2008,Bonus,03-10-2008,01-10-2008,1:1
