,Announcement_Date,PURPOSE,SPLIT_DATE_BSE,SPLIT_DATE_NSE,FROM,TO
0,ANNOUNCEMENT DATE,PURPOSE,SPLIT DATE - BSE,SPLIT DATE - NSE,FROM,TO
1,26-05-2012,Split,29-06-2012,29-06-2012,10.00,5.00
