,Announcement_Date,PURPOSE,SPLIT_DATE_BSE,SPLIT_DATE_NSE,FROM,TO
0,ANNOUNCEMENT DATE,PURPOSE,SPLIT DATE - BSE,SPLIT DATE - NSE,FROM,TO
1,09-05-2013,Split,30-07-2013,30-07-2013,10.00,1.00
