,Announcement_Date,PURPOSE,SPLIT_DATE_BSE,SPLIT_DATE_NSE,FROM,TO
0,ANNOUNCEMENT DATE,PURPOSE,SPLIT DATE - BSE,SPLIT DATE - NSE,FROM,TO
1,28-05-2012,Split,25-09-2012,25-09-2012,2.00,1.00
