,Announcement_Date,PURPOSE,SPLIT_DATE_BSE,SPLIT_DATE_NSE,FROM,TO
0,ANNOUNCEMENT DATE,PURPOSE,SPLIT DATE - BSE,SPLIT DATE - NSE,FROM,TO
1,24-09-2014,Split,20-11-2014,20-11-2014,10.00,1.00
