,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,11-03-2020,19-03-2020,Interim,1200.00,Rs.12.0000 per share(1200%)Interim Dividend
1,10-01-2020,23-01-2020,Interim,500.00,Rs.5.0000 per share(500%)Third Interim Dividend
2,30-09-2019,17-10-2019,Interim,500.00,Rs.5.0000 per share(500%)Second Interim Dividend
3,10-10-2019,17-10-2019,Special,4000.00,Rs.40.0000 per share(4000%)Special Dividend
4,28-06-2019,16-07-2019,Interim,500.00,Rs.5.0000 per share(500%)Interim Dividend
5,12-04-2019,04-06-2019,Final,1800.00,Rs.18.0000 per share(1800%)Final Dividend
6,31-12-2018,17-01-2019,Interim,400.00,Rs.4.0000 per share(400%)Third Interim Dividend
7,11-10-2018,23-10-2018,Interim,400.00,Rs.4.0000 per share(400%)Second Interim Dividend.
8,29-06-2018,17-07-2018,Interim,400.00,Rs.4.0000 per share(400%)Interim Dividend
9,19-04-2018,31-05-2018,Final,2900.00,Rs.29.0000 per share(2900%)Final Dividend
10,11-01-2018,22-01-2018,Interim,700.00,Rs.7.0000 per share(700%)Third Interim Dividend
11,12-10-2017,25-10-2017,Interim,700.00,Rs.7.0000 per share(700%)Second Interim Dividend.
12,13-07-2017,24-07-2017,Interim,700.00,Rs.7.0000 per share(700%)Interim
13,24-04-2017,13-06-2017,Final,2750.00,Rs.27.5000 per share(2750%)Final Dividend
14,12-01-2017,23-01-2017,Interim,650.00,Rs.6.5000 per
15,13-10-2016,24-10-2016,Interim,650.00,Rs.6.5000 per share(650%)Second Interim Dividend
16,14-07-2016,25-07-2016,Interim,650.00,Rs.6.5000 per share(650%)Interim Dividend
17,18-04-2016,06-06-2016,Final,2700.00,Rs.27.0000 per share(2700%)Final Dividend
18,12-01-2016,21-01-2016,Interim,550.00,Rs.5.5000 per share(550%)Third Interim Dividend
19,13-10-2015,23-10-2015,Interim,550.00,Rs.5.5000 per share(550%)Second Interim Dividend
20,08-07-2015,20-07-2015,Interim,550.00,Rs.5.5000 per share(550%)Interim Dividend
21,16-04-2015,05-06-2015,Final,2400.00,Rs.24.0000 per share(2400%)Final Dividend
22,15-01-2015,27-01-2015,Interim,500.00,Rs.5.0000 per share(500%)Third Interim Dividend
23,16-10-2014,29-10-2014,Interim,500.00,Rs.5.0000 per share(500%)Second Interim Dividend
24,16-07-2014,28-07-2014,Interim,500.00,Rs.5.0000 per share(500%)Interim Dividend
25,17-07-2014,28-07-2014,Special,4000.00,Rs.40.0000 per share(4000%)Special Dividend
26,16-04-2014,06-06-2014,Final,2000.00,Rs.20.0000 per share(2000%)Final Dividend
27,16-01-2014,27-01-2014,Interim,400.00,Rs.4.0000 per share(400%)Third Interim Dividend
28,15-10-2013,25-10-2013,Interim,400.00,Rs.4.0000 per share(400%)Second Interim Dividend
29,18-07-2013,29-07-2013,Interim,400.00,Rs.4.0000 per share(400%)Interim Dividend
30,17-04-2013,06-06-2013,Final,1300.00,Rs.13.0000 per share(1300%)Final Dividend
31,14-01-2013,23-01-2013,Interim,300.00,Rs.3.0000 per share(300%)Third Interim Dividend
32,19-10-2012,31-10-2012,Interim,300.00,Rs.3.00 per share (300%) Second Interim Dividend
33,12-07-2012,23-07-2012,Interim,300.00,Rs.3.00 per share(300%)Interim Dividend
34,23-04-2012,07-06-2012,Final,1600.00,Rs. 8/- per share (800%) Final Dividend & Rs. 8/- per share (800%) Special Dividend
35,17-01-2012,25-01-2012,Interim,300.00,Third Interim Dividend
36,17-10-2011,25-10-2011,Interim,300.00,Second Interim Dividend
37,14-07-2011,28-07-2011,Interim,300.00,-
38,21-04-2011,08-06-2011,Final,800.00,Rs.8.00 per share(800%)Final Dividend
39,17-01-2011,27-01-2011,Interim,200.00,Third Interim Dividend
40,21-10-2010,01-11-2010,Interim,200.00,Second Interim Dividend
41,15-07-2010,29-07-2010,Interim,200.00,-
42,19-04-2010,15-06-2010,Final,1400.00,Rs.10.00 per share(1000%) Special Dividend & Rs.4.00 per share(400%)Final Dividend
43,15-01-2010,27-01-2010,Interim,200.00,Third Interim Dividend
44,20-10-2009,28-10-2009,Interim,200.00,Second Interim Dividend
45,20-07-2009,27-07-2009,Interim,200.00,-
46,21-04-2009,16-06-2009,Final,500.00,& Bonus Issue
47,07-01-2009,28-01-2009,Interim,300.00,Third Interim Dividend
48,14-10-2008,29-10-2008,Interim,300.00,Second Interim Dividend
49,17-07-2008,29-10-2008,Interim,300.00,Second Interim Dividend
50,08-07-2008,31-07-2008,Interim,300.00,-
51,21-04-2008,18-06-2008,Final,500.00,-
52,08-01-2008,23-01-2008,Interim,300.00,Third Interim Dividend
53,03-10-2007,22-10-2007,Interim,300.00,Second Interim Dividend
54,06-07-2007,27-07-2007,Interim,300.00,-
55,16-04-2007,15-06-2007,Final,400.00,AGM
56,08-01-2007,22-01-2007,Interim,300.00,Third Interim Dividend
57,09-10-2006,23-10-2006,Interim,300.00,Second Interim Dividend
58,11-07-2006,28-07-2006,Interim,300.00,Interim Dividend (Pre Bonus) & Bonus issue
59,17-04-2006,16-06-2006,Final,450.00,Final Dividend of Rs.4.50  per equity share of Re.1/- each
60,04-01-2006,18-01-2006,Interim,300.00,Third Interim Dividend of Rs.3.00 per equity share of Re.1/- each.
61,04-10-2005,18-10-2005,Interim,300.00,Second Interim Dividend
62,18-07-2005,18-08-2005,Interim,300.00,-
63,19-04-2005,06-07-2005,Final,500.00,AGM
64,13-01-2005,03-02-2005,Interim,350.00,Second Interim Dividend
65,14-10-2004,28-10-2004,Interim,300.00,-
