,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,26-05-2012,Dividend,100.00,Final,20-09-2012,22-09-2012
2,27-05-2011,Dividend,80.00,Final,22-09-2011,24-09-2011
3,21-05-2010,Dividend,60.00,Final,21-09-2010,23-09-2010
