,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,30-05-2016,Dividend,10.00,Final,18-07-2016,20-07-2016
2,29-05-2014,Dividend,100.00,Final,09-07-2014,11-07-2014
3,29-05-2013,Dividend,100.00,Final,30-07-2013,01-08-2013
4,29-05-2012,Dividend,200.00,Final,18-07-2012,20-07-2012
5,26-05-2011,Dividend,200.00,Final,19-07-2011,21-07-2011
6,27-05-2010,Dividend,150.00,Final,10-08-2010,12-08-2010
