,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,24-07-2019,AGM,20-08-2019,14-08-2019,20-08-2019,-
1,25-07-2018,AGM,28-08-2018,22-08-2018,28-08-2018,-
2,24-07-2017,AGM,06-09-2017,31-08-2017,06-09-2017,-
