,Announcement_Date,Rights_Ratio,Face_Value,Premium,Record_Date,Ex-Rights_Date
0,06-01-2020,13:118,2,308,06-02-2020,05-02-2020
1,26-12-2002,1:1,10,15,20-09-2003,12-09-2003
2,09-06-1997,1:2,0,0,30-11--0001,-
3,15-03-1995,1:2,0,190,18-04-1995,17-03-1995
