,Announcement_Date,Rights_Ratio,Face_Value,Premium,Record_Date,Ex-Rights_Date
0,20-12-2017,2:25,10,605,01-02-2018,31-01-2018
1,19-12-2017,4:25,10,500,01-02-2018,31-01-2018
2,17-04-2007,1:5,10,290,05-11-2007,29-10-2007
3,30-03-1992,2:5,10,70,20-05-1992,20-04-1992
