,Announcement_Date,Rights_Ratio,Face_Value,Premium,Record_Date,Ex-Rights_Date
0,14-01-2008,1:5,10,1580,04-02-2008,28-01-2008
1,26-11-1993,3:5,10,50,24-12-1993,26-11-1993
