,Announcement_Date,PURPOSE,EGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,EGM DATE,REMARKS
1,17-08-2017,EGM,20-09-2017,COM 20/09/2017Notices of the National Company Law Tr...
2,24-04-2015,EGM,20-04-2015,Adani Power Ltd has informed BSE regarding Outcome o...
3,17-07-2014,EGM,14-08-2014,Adani Power Ltd has submitted to BSE a copy of Notic...
