,Announcement_Date,PURPOSE,EGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,EGM DATE,REMARKS
1,09-03-2016,EGM,30-03-2016,EGM 30/03/2016Zylog Systems Ltd has informed BSE tha...
2,05-02-2014,EGM,05-02-2014,Zylog Systems Ltd has informed BSE that the Extra Or...
