,Announcement_Date,PURPOSE,EGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,EGM DATE,REMARKS
1,03-05-2013,EGM,31-05-2013,COM 31.05.2013Tata Consultancy Services Limited has ...
2,30-03-2015,EGM,28-04-2015,Tata Consultancy Services Ltd has informed BSE regar...
3,17-11-2016,EGM,13-12-2016,Tata Consultancy Services Ltd has informed BSE that ...
4,12-12-2014,EGM,12-12-2014,Tata Consultancy Services Ltd has submitted to BSE a...
