,Announcement_Date,PURPOSE,EGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,EGM DATE,REMARKS
1,01-08-2017,EGM,22-08-2017,COM 22/08/2017Re : Shareholders' Meeting of the Comp...
2,13-02-2017,EGM,14-03-2017,Larsen  &  Toubro Limited  has submitted to the Exch...
3,16-07-2013,EGM,12-08-2013,Larsen & Toubro Ltd (Applicant Company) has informed...
