,Announcement_Date,PURPOSE,EGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,EGM DATE,REMARKS
1,02-07-2014,EGM,30-07-2014,Infosys Ltd has informed BSE that the Extra Ordinary...
2,08-07-2013,EGM,03-08-2013,EGM 03.08.2013Infosys Ltd has informed BSE that an E...
