,Announcement_Date,PURPOSE,EGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,EGM DATE,REMARKS
1,22-02-2017,EGM,27-03-2017,Bombay Dyeing & Manufacturing Company Ltd has inform...
2,24-02-2017,EGM,23-02-2017,Bombay Dyeing & Manufacturing Company Ltd has submit...
3,28-11-2018,EGM,03-01-2019,COM 03/01/2019we wish to inform you that in accordan...
