,Announcement_Date,PURPOSE,REMARKS
75,07-11-2016,Others,Amara  Raja  Batteries  Ltd  has informed BSE that  Mr.  Raymond  J  Bro...
76,10-08-2016,Others,Amara Raja Batteries Ltd has submitted to BSE a copy of Proceedings of  ...
77,25-05-2016,Others,Amara  Raja Batteries Ltd has informed BSE that the Board of  Directors ...
78,25-04-2016,Others,Amara Raja Batteries Ltd has informed BSE regarding Quarterly Statement ...
79,01-04-2016,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
80,21-03-2016,Others,Amara  Raja Batteries Ltd has informed BSE that the Board of  Directors ...
81,15-03-2016,Others,Amara Raja Batteries Ltd has informed BSE that the Directors of the Comp...
82,10-03-2016,Others,"With  reference  to  the earlier letters dated March 09,  2016,  about  ..."
83,09-03-2016,Others,Amara  Raja Batteries Ltd has informed BSE that a meeting of the  Board ...
84,02-02-2016,Others,Amara  Raja Batteries Ltd has informed BSE that Mr. Bruce A.  Ronning  J...
85,20-01-2016,Others,Amara Raja Batteries Ltd has informed BSE regarding Quarterly Statement ...
86,18-01-2016,Others,Amara  Raja Batteries Ltd has informed BSE that a meeting of the  Board ...
87,31-12-2015,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
88,05-10-2015,Others,Amara  Raja Batteries Ltd has informed BSE that a meeting of the  Board ...
89,04-09-2015,Others,Amara Raja Batteries Ltd has submitted to BSE a copy of minutes of the 3...
90,18-08-2015,Others,Amara  Raja Batteries Ltd has submitted to BSE the  Scrutinizer's  combi...
91,17-08-2015,Others,Amara  Raja  Batteries Ltd has informed BSE that the members  at  the  3...
92,22-07-2015,Others,Amara  Raja  Batteries Ltd has informed BSE that the  30th  Annual  Gene...
93,17-07-2015,Others,Amara  Raja Batteries Ltd has informed BSE that a meeting of the  Board ...
94,06-07-2015,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
95,29-05-2015,Others,Amara  Raja Batteries Ltd has informed BSE that the Board of  Directors ...
96,18-05-2015,Others,Amara Raja Batteries Ltd has informed BSE that pursuant to Regulation 8 ...
97,06-04-2015,Others,Amara Raja Batteries Ltd has informed BSE that the four-wheeler automoti...
98,30-03-2015,Others,Amara  Raja Batteries Ltd  has informed BSE that the Board of Directors ...
99,02-01-2015,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
100,26-09-2014,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
101,25-09-2014,Others,Amara  Raja Batteries Ltd has informed BSE regarding the details of  Vot...
102,15-09-2014,Others,"With  reference  to  Increase  in volume,  Amara  Raja  Batteries  Ltd  ..."
103,08-09-2014,Others,Amara Raja Batteries Ltd has submitted to BSE a copy of the minutes of  ...
104,18-08-2014,Others,Amara  Raja Batteries Ltd has informed BSE that the members of the  Comp...
105,07-08-2014,Others,Amara  Raja Batteries Ltd has informed BSE regarding the details of  Vot...
106,16-07-2014,Others,Amara  Raja  Batteries Ltd has informed BSE that the  29th  Annual  Gene...
107,02-07-2014,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
108,11-06-2014,Others,Amara Raja Batteries Ltd has informed BSE regarding CRISIL rating for  t...
109,07-04-2014,Others,Amara Raja Batteries Ltd has informed BSE that the Audit Committee and  ...
110,28-03-2014,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
111,12-02-2014,Others,Amara  Raja  Batteries Ltd has informed BSE that the Company's  office  ...
112,16-01-2014,Others,Amara Raja Batteries Ltd has informed BSE that as per the Company's code...
