,Announcement_Date,PURPOSE,REMARKS
100,13-04-2019,Others,Infosys Ltd has informed BSE that the Register of Members & Share Transf...
101,12-04-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
102,10-04-2019,Others,Winners of Infosys Finacle Client Innovation Awards 2019 Announced
103,08-04-2019,Others,EdgeVerve Launches CollectEdge to Help Banks Redefine Collection Predict...
104,05-04-2019,Others,Please find attached the press release titled 'Infosys Strengthens Turbo...
105,02-04-2019,Others,Ahli United Bank-Kuwait Selects EdgeVerve for its Automation Journey
106,01-04-2019,Others,Intimation under SEBI (Prohibition of Insider Trading) (Amendment) Regul...
107,26-03-2019,Others,Infosys positioned as a Leader in Gartner's Magic Quadrant for Applicati...
108,25-03-2019,Others,Infosys Foundation Signs MoU to Foster Research in Orientology.'
109,22-03-2019,Others,"In continuation to our letter dated March 21, 2019 with regard to Board ..."
110,18-03-2019,Others,Public Announcement in relation to buyback of equity shares
111,15-03-2019,Others,Closure of Trading window
112,14-03-2019,Others,Press Release
113,12-03-2019,Others,Infosys Finacle Partners Hatton National Bank to Pioneer Blockchain-Base...
114,11-03-2019,Others,Investors Conference
115,07-03-2019,Others,Infosys to Deliver Engineering and Digital Services to Rolls-Royce Group
116,06-03-2019,Others,"This is to inform that the Company has allotted 2,79,122 equity shares u..."
117,28-02-2019,Others,Inadvertent Trading by designated person
118,27-02-2019,Others,Press Release- Infosys Foundation Announces Winners of the Aarohan Socia...
119,25-02-2019,Others,Infosys Launches New Service Offerings to Help Communication Service Pro...
120,22-02-2019,Others,Statement from Infosys Foundation
121,21-02-2019,Others,Infosys Recognized among the Top Three Employers in Europe and Middle East
122,18-02-2019,Others,Settlement order issued by the Securities and Exchange Board of India ('...
123,17-02-2019,Others,Investors conference
124,14-02-2019,Others,RBL Bank Adopts Finacle Assure for Preventive Maintenance on AWS Cloud
125,12-02-2019,Others,Infosys Inaugurates Providence Digital Innovation and Design Center
126,11-02-2019,Others,investor conference
127,05-02-2019,Others,Further to the outcome of meeting of the board of directors of the Compa...
128,01-02-2019,Others,Investor Meeting
129,28-01-2019,Others,"This is to inform that the Company has allotted 4,424 equity shares unde..."
130,17-01-2019,Others,Transcripts of Press conference and earnings call
131,14-01-2019,Others,Advertisement in Newspapers regarding Financial Results.
132,11-01-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
133,08-01-2019,Others,Board of Directors to consider proposal(s) for implementation of the cap...
134,05-01-2019,Others,Infosys Science Foundation Awards Winners of the Infosys Prize 2018
135,04-01-2019,Others,Infosys Science Foundation Announces Results of the ISF Nutrition Challenge
136,02-01-2019,Others,"Infosys to Announce Third Quarter Results on January 11, 2019"
137,24-12-2018,Others,The Exchange has sought clarification from Infosys Ltd with respect to n...
138,20-12-2018,Others,Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disc...
139,18-12-2018,Others,Allotment of Equity Shares
140,17-12-2018,Others,"In continuation to our letter dated December 14, 2018 with regard to Boa..."
141,14-12-2018,Others,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
142,07-12-2018,Others,"This is to inform you that Mohit Joshi - President & Head, Banking, Fina..."
143,06-12-2018,Others,Infosys Inaugurates Hartford Technology and Innovation Hub
144,04-12-2018,Others,Celebrating Computer Science Education Week
145,02-12-2018,Others,"This is to inform you that Mohit Joshi - President & Head, Banking, Fina..."
146,29-11-2018,Others,Infosys Enables Citizens Energy Group to Navigate Next Phase of its Cust...
147,28-11-2018,Others,Transfer of operations of Share Transfer Agent from Karvy Computershare ...
148,26-11-2018,Others,"The Company has allotted 208,250 equity shares under the 2015 Stock Ince..."
149,22-11-2018,Others,Press release titled 'RCB Digital Wallet to be powered by EdgeVerve Syst...
150,21-11-2018,Others,Please find enclosed the press release titled Infosys Announces Creation...
151,19-11-2018,Others,Press release on Investor meetings
152,16-11-2018,Others,Please find enclosed the press release titled 'Infosys Breaks Ground on ...
153,15-11-2018,Others,Infosys Limited has informed the Exchange regarding a press release date...
154,13-11-2018,Others,Press Release titled 'Infosys to Open Technology and Innovation Hub in T...
155,07-11-2018,Others,Platform-based Companies to Lead Banking Innovation by 2022.
156,05-11-2018,Others,Investor meetings
157,26-10-2018,Others,'Infosys Wins Six Excellence Awards at Oracle OpenWorld 2018.'
158,24-10-2018,Others,Infosys Unveils Enterprise Class Open Source DevOps Platform
159,16-10-2018,Others,"Infosys Ltd has informed BSE that the Company has fixed October 27, 2018..."
160,13-10-2018,Others,"Press release titled - 'Infosys Completes Acquisition of Fluido, the Lar..."
161,10-10-2018,Others,Regulation 7(3)of SEBI LODR
