,Announcement_Date,PURPOSE,REMARKS
75,19-11-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Confe...
76,17-11-2018,Others,The Exchange has received the revised disclosure under Regulation 31(1) ...
77,15-11-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
78,14-11-2018,Others,Audio of the conference call has been uploaded at the Company's website ...
79,05-11-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
80,03-11-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding the T...
81,31-10-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Credi...
82,23-10-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Credi...
83,22-10-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding decla...
84,20-10-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
85,15-10-2018,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
86,29-09-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
87,19-09-2018,Others,Motherson Sumi Systems Limited informed about the notice published in Na...
88,18-09-2018,Others,Motherson Sumi Systems Limited informed that the Postal Ballot Notice ha...
89,13-09-2018,Others,Motherson Sumi Systems Limited informed about the particulars of the Inv...
90,07-09-2018,Others,Motherson Sumi Systems Limited disclosed the additional details regardin...
91,05-09-2018,Others,Motherson Sumi Systems Limited informed about the particulars of the Non...
92,28-08-2018,Others,Meeting with the Investors / Analysts
93,27-08-2018,Others,In terms of Regulation 30(6) of the SEBI (Listing obligations and Disclo...
94,18-08-2018,Others,In terms of Regulation 30(6) of the SEBI (Listing obligations and Disclo...
95,17-08-2018,Others,"Press Release dated August 17, 2018 of Motherson Sumi Systems Limited on..."
96,14-08-2018,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
97,13-08-2018,Others,Voting Results and Scrutinizer''s Results in relation to 31st Annual Gen...
98,07-08-2018,Others,Motherson Sumi Systems Limited informed that Audio of the conference cal...
99,03-08-2018,Others,Press Release for the acquisition of Reydel Automotive Holdings B.V. and...
100,24-07-2018,Others,Pursuant to Regulation 30 read with Schedule III (Part A) to the SEBI (L...
101,23-07-2018,Others,The Company informs that 31st Annual General Meeting (AGM) will be conve...
102,20-07-2018,Others,A meeting of the Board of Directors of the Company is scheduled to be he...
103,10-07-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
104,03-07-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
105,07-06-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
106,04-06-2018,Others,Clarification Letter on disclosure of relationship of Appointee Director...
107,30-05-2018,Others,Motherson Sumi Systems Limited informed that the Management of the Compa...
108,23-05-2018,Others,Motherson Sumi Systems Limited informed that  conference call with the I...
109,11-05-2018,Others,Motherson Sumi Systems Limited informed that that in view of the Board m...
110,09-05-2018,Others,Motherson Sumi Systems (the Company) Limited informed that Samvardhana M...
111,28-04-2018,Others,Motherson Sumi Systems Limited informed that the Certificate has been re...
112,26-04-2018,Others,MOtherson Sumi Systems Limited has informed that the notice of the Board...
113,20-04-2018,Others,MOTHERSON SUMI SYSTEMS LIMITED SUBMITTED DISCLOSURE IN PURSUANCE OF REGU...
114,09-04-2018,Others,Motherson Sumi Systems Limited informed that with reference to its previ...
115,06-04-2018,Others,Motherson Sumi Systems Limited informed that the Management of the Compa...
116,02-04-2018,Others,The Board of Directors of Motherson Sumi Systems Limited in their meetin...
117,22-03-2018,Others,Motherson Sumi Systems Limited informed that the management of the Compa...
118,24-02-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
119,21-02-2018,Others,Motheron Sumi Systems Limited informed that in respect of attending the ...
120,15-02-2018,Others,Motherson Sumi Systems Limited informed that audio of the conference cal...
121,13-02-2018,Others,Investor Conference.
122,23-01-2018,Others,Meeting of the Board of Directors of Motherson Sumi Systems Limited will...
123,10-01-2018,Others,Motherson  Sumi  Systems  Limited issued a Press Release  with  respect ...
124,08-12-2017,Others,Update on Credit Ratings.
125,12-10-2017,Others,Motherson  Sumi  Systems Limited informed that a meeting of  the  Board ...
126,09-10-2017,Others,Updates
127,06-09-2017,Others,Updates
128,05-09-2017,Others,This  is to inform that the Management of the Company is  attending  Ann...
129,30-08-2017,Others,The  Exchange has received the disclosure under Regulation 31(1) and  31...
130,22-08-2017,Others,Motherson Sumi Systems Limited submitted the proceedings of the 30th Ann...
131,10-08-2017,Others,Conference call with the Analysts
132,01-08-2017,Others,Date of Book Closure.
133,21-07-2017,Others,Motherson  Sumi  Systems  Limited inform that a meeting  of  the  Board ...
134,30-06-2017,Others,Motherson  Sumi  Systems  Limited inform that  its  subsidiary  Samvardh...
135,22-06-2017,Others,Presentation  of  the  Company's subsidiary  namely  Samvardhana  Mother...
136,08-06-2017,Others,Financial results update.
137,19-05-2017,Others,Motherson Sumi Systems Ltd has informed BSE that the Board of Directors ...
138,24-04-2017,Others,Meeting  of the Board of Directors of the Company scheduled to be  held ...
139,22-03-2017,Others,"MSSL  Estonia WH  (the Offeror), a wholly-owned indirect  subsidiary  of..."
140,14-02-2017,Others,Motherson  Sumi  Systems Ltd has announced the following  results  for  ...
141,07-02-2017,Others,Motherson  Sumi Systems Ltd has informed BSE that the Trading Window  sh...
142,20-01-2017,Others,Motherson  Sumi Systems Ltd has submitted to BSE a copy of Press Release...
143,19-01-2017,Others,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
144,23-11-2016,Others,Motherson  Sumi  Systems  Ltd has informed  BSE  regarding  Intimation  ...
145,09-11-2016,Others,Motherson  Sumi Systems Ltd has informed BSE that the Trading Window  sh...
146,20-09-2016,Others,"completion of raising of funds amounting to Rs. 19,934.49million by way ..."
147,15-09-2016,Others,Motherson  Sumi  Systems  Ltd has informed BSE regarding  Addendum  to  ...
148,07-09-2016,Others,Motherson Sumi Systems Ltd has informed BSE that MSSL Manufacturing Hung...
149,22-08-2016,Others,Submission of Presentation to be made to the InvestorsMotherson Sumi Sys...
150,17-08-2016,Others,Motherson Sumi Systems Ltd has informed BSE regarding Conference Call wi...
151,16-08-2016,Others,Motherson Sumi Systems Ltd has informed BSE regarding Conference Call wi...
152,08-08-2016,Others,"With reference to the earlier letter dated August 03, 2016 regarding one..."
153,03-08-2016,Others,Motherson  Sumi  Systems  Ltd  has  informed  BSE  that  One  of  Compan...
154,19-07-2016,Others,Motherson  Sumi  Systems Ltd has informed BSE  regarding  Conference  Ca...
155,22-06-2016,Others,Motherson  Sumi Systems Ltd has informed BSE that: There have  been  med...
156,09-06-2016,Others,Motherson  Sumi  Systems  Ltd  has  informed  BSE  that:  Our  subsidiar...
157,06-06-2016,Others,Motherson  Sumi  Systems  Limited  has  informed  BSE  that  the  compan...
158,18-04-2016,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
159,28-03-2016,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
160,23-03-2016,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
161,16-03-2016,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
162,11-03-2016,Others,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
163,08-03-2016,Others,Motherson  Sumi Systems Ltd has informed BSE regarding Clarification  wi...
164,01-03-2016,Others,Motherson  Sumi Systems Ltd has informed BSE that due to other  commitme...
165,29-02-2016,Others,Motherson  Sumi  Systems Ltd has submitted to BSE a Copy of the  Notice ...
166,23-02-2016,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
167,22-02-2016,Others,Motherson  Sumi  Systems Ltd has informed BSE regarding Meeting  with  t...
168,15-02-2016,Others,Motherson  Sumi  Systems  Ltd  has informed BSE  about  Meeting  with  t...
169,09-02-2016,Others,Motherson Sumi Systems Ltd has informed BSE that the Board of Directors ...
170,01-02-2016,Others,Motherson  Sumi  Systems  Ltd has informed BSE that  Trading  Window  sh...
171,29-01-2016,Others,Samvardhan  Motherson International Ltd has submitted the disclosure  un...
172,21-01-2016,Others,Motherson  Sumi Systems Ltd has informed BSE regarding Quarterly  Statem...
173,12-01-2016,Others,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
174,11-12-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
175,04-12-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
176,20-11-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
177,09-11-2015,Others,Motherson Sumi Systems Ltd has informed BSE that the Board of Directors ...
178,27-10-2015,Others,Motherson  Sumi  Systems  Ltd has informed BSE that  Trading  Window  sh...
179,15-10-2015,Others,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
180,14-10-2015,Others,Motherson Sumi Systems Ltd has informed BSE that the Company has  appoin...
181,08-10-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
182,30-09-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
183,23-09-2015,Others,With  reference to the news flashed on Economic Times dated  September  ...
184,14-09-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
185,01-09-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
186,28-08-2015,Others,Motherson  Sumi Systems Ltd has submitted to BSE a copy of the  minutes ...
187,29-07-2015,Others,Motherson  Sumi  Systems  Ltd has informed BSE that  Trading  Window  sh...
188,20-07-2015,Others,Motherson  Sumi Systems Ltd has submitted to BSE a certified true  copy ...
189,16-07-2015,Others,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
190,15-07-2015,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
191,08-07-2015,Others,Motherson  Sumi Systems Ltd has informed BSE that the 28th  Annual  Gene...
192,23-06-2015,Others,Motherson Sumi Systems Ltd has informed BSE that the members of the Comp...
193,12-06-2015,Others,Motherson  Automotive Systems Group B.V. (SMRP BV  the Company)'  Mother...
194,10-06-2015,Others,Motherson Sumi Systems Ltd has informed BSE that the Board of Directors ...
195,15-05-2015,Others,The Exchange has sought clarification from Motherson Sumi Systems Ltd  w...
196,12-05-2015,Others,Motherson Sumi Systems Ltd has submitted to BSE a copy of Press Release ...
197,04-05-2015,Others,Motherson  Sumi  Systems  Ltd has informed BSE that  Trading  Window  sh...
198,29-04-2015,Others,Motherson Sumi Systems Ltd has informed BSE regarding a Press Release da...
199,28-04-2015,Others,Samvardhana Motherson International Ltd has submitted the disclosure  un...
200,10-02-2015,Others,Motherson  Sumi Systems Ltd has submitted to BSE a copy of Presentation ...
201,02-02-2015,Others,Motherson  Sumi  Systems  Ltd has informed BSE that  Trading  Window  sh...
202,12-01-2015,Others,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
203,16-12-2014,Others,Motherson  Sumi  Systems Ltd has informed BSE  that  Samvardhana  Mother...
204,03-11-2014,Others,Motherson  Sumi Systems Ltd has informed BSE that the Trading Window  sh...
205,01-10-2014,Others,Motherson  Sumi Systems Ltd has informed BSE that the 27th  Annual  Gene...
206,26-08-2014,Others,Motherson Sumi  Systems Ltd has informed BSE regarding the details of Vo...
207,07-08-2014,Others,Motherson  Sumi Systems Ltd has informed BSE that the 27th  Annual  Gene...
208,05-08-2014,Others,Motherson  Sumi  Systems  Ltd has informed BSE that  Trading  Window  sh...
209,04-08-2014,Others,Motherson Sumi Systems Ltd has informed BSE regarding a Press Release da...
210,10-07-2014,Others,Motherson  Sumi  Systems Ltd has informed BSE  that  Samvardhana  Mother...
211,23-06-2014,Others,Motherson  Sumi  Systems Ltd has informed BSE  that  Samvardhana  Mother...
212,27-05-2014,Others,Motherson Sumi Systems Ltd has informed BSE regarding a Press Release da...
213,10-01-2014,Others,Motherson  Sumi Systems Ltd has submitted to BSE a copy of the minutes  ...
214,23-12-2013,Others,"Motherson  Sumi  Systems Ltd has informed BSE that Mr. Hideaki  Ueshima,..."
215,12-12-2013,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
216,11-12-2013,Others,Motherson Sumi Systems Ltd has informed BSE that the members of the Comp...
217,12-11-2013,Others,Motherson Sumi Systems Ltd has submitted to BSE a copy of Notice of  Pos...
218,16-09-2013,Others,Motherson  Sumi Systems Ltd has submitted to BSE a copy of  Proceedings ...
219,02-09-2013,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
220,19-08-2013,Others,Motherson  Sumi Systems Ltd has informed BSE that the 26th  Annual  Gene...
221,02-08-2013,Others,"With  reference to the earlier announcement dated May 17,   2013  regard..."
222,21-06-2013,Others,Motherson  Sumi  Systems Ltd has informed BSE that Mr.  Satya  Pal  Talw...
223,08-04-2013,Others,Motherson Sumi Systems Ltd has informed BSE that the Extra Ordinary Gene...
224,18-03-2013,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
225,25-02-2013,Others,Motherson Sumi Systems Ltd has informed BSE that the Extra Ordinary Gene...
226,21-02-2013,Others,Motherson  Sumi Systems Ltd has informed BSE that:  In response to  vari...
227,01-11-2012,Others,"Motherson  Sumi  Systems  Ltd  has  informed  BSE  that,  at  present   ..."
228,19-10-2012,Others,Motherson  Sumi Systems Ltd has informed BSE that Mr.   Yoshiki  Kishimo...
229,16-10-2012,Others,Motherson  Sumi Systems Ltd has submitted to BSE a copy of  Proceedings ...
230,11-09-2012,Others,Motherson Sumi Systems Ltd has informed BSE that the members of the Comp...
231,24-08-2012,Others,Motherson  Sumi Systems Ltd has informed BSE that the 25th  Annual  Gene...
232,13-08-2012,Others,Motherson Sumi Systems Ltd has informed BSE that the members of the Comp...
233,10-07-2012,Others,Motherson Sumi Systems Ltd has informed BSE that Mr. Yoshiki Kishimoto  ...
234,04-05-2012,Others,Motherson  Sumi  Systems  Ltd  has  informed  BSE  that  Mr.  M.S.  Gujr...
235,23-04-2012,Others,Motherson Sumi Systems Ltd has informed BSE that M/s. Samvardhana Mother...
236,11-01-2012,Others,Samvardhana  Motherson  Finance  Ltd has  submitted  the  disclosure  un...
237,09-12-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the members at the Extr...
238,08-12-2011,Others,Samvardhana Motherson Finance Ltd has submitted the disclosure under Reg...
239,30-11-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the members of the Comp...
240,24-11-2011,Others,Motherson Sumi Systems Ltd has informed BSE regarding a Press Release da...
241,22-11-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the members at the Extr...
242,17-11-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the Equity Shareholders...
243,02-11-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the members of the Comp...
244,21-10-2011,Others,Motherson Sumi Systems Ltd has submitted the disclosure under Regulation...
245,27-09-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the Hon'ble High Court ...
246,07-09-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the members at the 24th...
247,02-09-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the members of the Comp...
248,18-07-2011,Others,"With reference to the earlier announcement dated July 13, 2011 regarding..."
249,25-05-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the Board of Directors ...
250,05-04-2011,Others,Motherson Sumi Systems Ltd has informed BSE that the Company had filed a...
251,04-04-2011,Others,Motherson Sumi Systems Ltd has submitted the disclosure under Regulation...
252,17-02-2011,Others,Motherson Sumi Systems Ltd has submitted the disclosure under Regulation...
253,03-01-2011,Others,Motherson Sumi Systems Ltd has submitted the disclosure under Regulation...
