,Announcement_Date,PURPOSE,REMARKS
73,24-07-2019,Others,TCS Named Oracle's HCM Cloud Partner of the Year for The Netherlands
74,23-07-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
75,19-07-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
76,16-07-2019,Others,TCS Recognized as a Leader in Gartner's 2019 Magic Quadrant for Data Cen...
77,15-07-2019,Others,NXP Partners with TCS to Transform its Enterprise Supply Chain IT Operat...
78,11-07-2019,Others,TCS Launches JileT 3.0 to Help Companies Achieve Agile Transformation
79,10-07-2019,Others,TCS Recognized with an Overall Positive Vendor Rating by Gartner Inc
80,08-07-2019,Others,We are sending herewith copy of the Press Release titled 'TCS a Leader i...
81,04-07-2019,Others,Digitate Named the Best Overall AI Company of the Year by AI Breakthrough
82,01-07-2019,Others,Tata Consultancy Services Ltd has informed BSE that the Company has fixe...
83,28-06-2019,Others,Pursuant to Regulation 29(1) of SEBI (Listing Obligations and Disclosure...
84,25-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
85,21-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
86,20-06-2019,Others,TCS Wins 2019 Pega Partner Award for Excellence in Digital Transformation
87,19-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
88,18-06-2019,Others,TCS Named a Leader in Next-Gen Testing Services by NelsonHall
89,17-06-2019,Others,TCS Teams Up with SAP to Transform Surgical Kit Handling with an IoT and...
90,14-06-2019,Others,Tata Consultancy Services Ltd has informed BSE regarding the details of ...
91,13-06-2019,Others,TCS Program Gives European Graduates a Head Start in Tech Careers
92,11-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
93,10-06-2019,Others,TCS Positioned as a Leader and Star Performer in Property & Casualty Ins...
94,07-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
95,05-06-2019,Others,TCS and Star Alliance Celebrate 15 years of Partnership with New Digital...
96,04-06-2019,Others,TCS New York City Marathon App Wins MediaPost's APPY Award
97,03-06-2019,Others,TCS Launches MasterCraftT TransformPlus v4.0 with New Cognitive Features...
98,31-05-2019,Others,Pursuant to Regulation 8(2) of the Securities and Exchange Board of Indi...
99,30-05-2019,Others,The Company''s Registrars and Transfer Agents - TSR Darashaw Limited (''...
100,21-05-2019,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI L...
101,20-05-2019,Others,Special Report Offers Civic Leaders Effective Strategies to Build Smart ...
102,17-05-2019,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI L...
103,16-05-2019,Others,The twenty-fourth Annual General Meeting ('AGM') of the Company will be ...
104,15-05-2019,Others,TCS BaNCS to Help Accelerate Adoption of Payments Canada's Modernization...
105,14-05-2019,Others,Toronto Students Compete for Top Spots at Annual TCS goIT Tech Summit
106,10-05-2019,Others,TCS and the U.S. Chamber Foundation Assemble Leaders to Discuss How to S...
107,09-05-2019,Others,"Pursuant to Regulation 23(9) of Listing Regulations, please find enclose..."
108,08-05-2019,Others,2019 Virgin Money London Marathon Official Race App Sets New Record for ...
109,30-04-2019,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
110,26-04-2019,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
111,25-04-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
112,22-04-2019,Others,India Post Partners with TCS to Digitally Reimagine Postal Services
113,18-04-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
114,16-04-2019,Others,ignioT Wins Artificial Intelligence Excellence Award
115,15-04-2019,Others,Zions Bancorporation Unifies Lending Operations with TCS BaNCS
116,12-04-2019,Others,We enclose the audited financial results of the Company and audited cons...
117,10-04-2019,Others,TCS Partners with Google Cloud to Build Industry-specific Cloud Solutions
118,09-04-2019,Others,"Canada's Leading Retailer, Loblaw, Transforms IT Operations with TCS' ig..."
119,05-04-2019,Others,TCS Launches Official App for 2019 Virgin Money London Marathon
120,04-04-2019,Others,NBB Selects TCS BaNCS to Power Core Banking Transformation
121,03-04-2019,Others,Ahli Brokerage Selects TCS BaNCS Digital to Offer On-The-Go Trading Serv...
122,02-04-2019,Others,TCS BaNCS to Power Harbin Bank's Transformation into an International Brand
123,01-04-2019,Others,TCS Recognized as a Leader in Everest Group's Property & Casualty Insura...
124,29-03-2019,Others,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
125,26-03-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
126,19-03-2019,Others,TCS Named Snowflake EMEA GSI Partner of the Year
127,18-03-2019,Others,Seadrill Selects TCS to Drive Global IT Transformation
128,14-03-2019,Others,TCS Named a Star Performer in Everest Group's Multi-Process Human Resour...
129,13-03-2019,Others,TCS' ignioT Powers IT Transformation at Tata Steel Europe
130,11-03-2019,Others,New Version of TCS' MRT Platform to Help Pharma Cos Digitally Transform ...
131,06-03-2019,Others,"TCS' Coding Challenge Draws 210,000"
132,05-03-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
133,01-03-2019,Others,TCS Recognized for Extensive Investments and Empowerment of Communities ...
134,28-02-2019,Others,Yoyogi Seminar Selects TCS iON PAPER to Transform Spoken English Tests i...
135,27-02-2019,Others,TCS Ranked as the #1 High-Tech Service Provider by HFS
136,26-02-2019,Others,TCS Launches ignioT Cheetah to Accelerate Transformation of Enterprise I...
137,21-02-2019,Others,TCS Named a Leader in Global Continuous Testing Services by Independent ...
138,19-02-2019,Others,TCS and Nanoheal to Provide Digital Workspace Automation for End-user De...
139,23-01-2019,Others,TCS Named Fastest Growing Brand of the Decade in IT Services
140,18-01-2019,Others,TCS Recognized as a Leader in Capital Markets Application Services by Ev...
141,17-01-2019,Others,TCS Recognized as a Leader in Cloud Infrastructure Brokerage and Orchest...
142,16-01-2019,Others,TCS Named a Leader in Next Generation Mortgage and Loan BPS for Third Co...
143,15-01-2019,Others,TCS Debuts Connected Intelligence Data Lake for BusinessT on AWS Marketp...
