,Announcement_Date,PURPOSE,REMARKS
73,10-04-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
74,09-02-2018,Others,This  is  to inform you that the Board of Directors of the Company  at  ...
75,19-01-2018,Others,xPursuant  to  Regulation  47 of SEBI (Listing  Obligations  and  Disclo...
76,18-01-2018,Others,Pursuant to the provisions of Regulation 29 of the Securities and  Excha...
77,05-01-2018,Others,Re  :  Intimation under Regulation 30 of Securities and Exchange  Board ...
78,23-11-2017,Others,"Pursuant to Regulation 30, we are enclosing herewith copy of the  newspa..."
79,08-11-2017,Others,"MANUFACTURING  COMPANY  LIMITED  HELD  ON  8TH  NOVEMBER,  2017.<BR>   <..."
80,18-10-2017,Others,Pursuant  to  Regulation  47 of SEBI (Listing  Obligations  and  Disclos...
81,17-10-2017,Others,Pursuant to the provisions of Regulation 29 of the Securities and  Excha...
82,03-10-2017,Others,"Dear  Sirs, Sub. : Disclosure under Regulation 10 (6) of  SAST  Regulati..."
83,07-09-2017,Others,"Disclosure of Sale of Free Hold Land at Village Dhoksanghvi, Taluka Shir..."
84,11-08-2017,Others,This is to inform you that 137th Annual General Meeting of the Company  ...
85,10-08-2017,Others,This  is  to inform you that the Board of Directors of the Company  at  ...
86,19-07-2017,Others,Pursuant  to  Regulation  47 of SEBI (Listing  Obligations  and  Disclos...
87,03-07-2017,Others,Resignation of Chief Financial Officer of the Company with effect from  ...
88,29-06-2017,Others,This  is  to inform you that the Board of Directors of the Company  at  ...
89,20-06-2017,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that a  meet...
90,23-05-2017,Others,Disclosure of Appointment of Additional Independent Director.
91,15-05-2017,Others,As  per Regulation 33 (3) (d) of SEBI (Listing Obligations  and  Disclos...
92,21-04-2017,Others,"Pursuant to Regulation 30, we are enclosing herewith copy of the  newspa..."
93,17-04-2017,Others,Pursuant  to  Regulation  47(1)  (d)  of  SEBI  (Listing  Obligations   ...
94,30-03-2017,Others,In  terms  of  Regulation 30 of SEBI (Listing  Obligations  and  Disclos...
95,10-02-2017,Others,Bombay  Dyeing  &  Manufacturing Company Ltd  has  informed  BSE  regard...
96,17-01-2017,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that a  Meet...
97,12-01-2017,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that Mrs. She...
98,18-11-2016,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
99,09-11-2016,Others,Bombay  Dyeing  &  Manufacturing Company Ltd has informed BSE  about  : ...
