,Announcement_Date,PURPOSE,REMARKS
82,18-06-2019,Others,Infosys recognized as winner for 2019 Microsoft Global Alliance SI Partn...
83,17-06-2019,Others,"In continuation to our letter dated June 14, 2019 with regard to Board M..."
84,13-06-2019,Others,More than 50 percent Forward-Looking Organizations Embrace Enterprise-Wi...
85,12-06-2019,Others,Infosys Selected by Posti as Key Digital Transformation Technology Partner
86,10-06-2019,Others,"Infosys Launches Experience Design & Innovation Studio in Shoreditch, Lo..."
87,07-06-2019,Others,Extinguishment of equity shares in connection with the Buyback of equity...
88,06-06-2019,Others,Infosys Collaborates with Microsoft to Accelerate Digital Transformation...
89,03-06-2019,Others,Investors'' conferences
90,27-05-2019,Others,This is to inform you that the Company's management will participate in ...
91,24-05-2019,Others,Extinguishment of Equity Shares In Connection With The Buyback of Equity...
92,18-05-2019,Others,"Notice of the 38th Annual General Meeting to be held on June 22, 2019 is..."
93,17-05-2019,Others,Extinguishment of equity shares in connection with the Buyback of equity...
94,10-05-2019,Others,Extinguishment of equity shares in connection with the Buyback of equity...
95,09-05-2019,Others,Submission of half yearly Disclosure on Related Party Transactions- Revised
96,07-05-2019,Others,In Compliance with Regulation 23(9) of SEBI (Listing Obligations and Dis...
97,30-04-2019,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
98,23-04-2019,Others,Infosys product subsidiary EdgeVerve Named a Leader in the First IDC Mar...
99,13-04-2019,Others,Infosys Ltd has informed BSE that the Register of Members & Share Transf...
100,12-04-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
101,10-04-2019,Others,Winners of Infosys Finacle Client Innovation Awards 2019 Announced
102,08-04-2019,Others,EdgeVerve Launches CollectEdge to Help Banks Redefine Collection Predict...
103,05-04-2019,Others,Please find attached the press release titled 'Infosys Strengthens Turbo...
104,02-04-2019,Others,Ahli United Bank-Kuwait Selects EdgeVerve for its Automation Journey
105,01-04-2019,Others,Intimation under SEBI (Prohibition of Insider Trading) (Amendment) Regul...
106,26-03-2019,Others,Infosys positioned as a Leader in Gartner's Magic Quadrant for Applicati...
107,25-03-2019,Others,Infosys Foundation Signs MoU to Foster Research in Orientology.'
108,22-03-2019,Others,"In continuation to our letter dated March 21, 2019 with regard to Board ..."
109,18-03-2019,Others,Public Announcement in relation to buyback of equity shares
110,15-03-2019,Others,Closure of Trading window
111,14-03-2019,Others,Press Release
